F107,CS F372,OPERATING SYSTEMS,53,53,248,19-05-22|14:00|17:00,FULL
F108,CS F372,OPERATING SYSTEMS,54,54,248,19-05-22|14:00|17:00,FULL
F109,CS F372,OPERATING SYSTEMS,36,36,248,19-05-22|14:00|17:00,FULL
F201,CS F372,OPERATING SYSTEMS,28,28,248,19-05-22|14:00|17:00,FULL
F202,CS F372,OPERATING SYSTEMS,28,28,248,19-05-22|14:00|17:00,FULL
F203,CS F372,OPERATING SYSTEMS,28,28,248,19-05-22|14:00|17:00,FULL
F204,CS F372,OPERATING SYSTEMS,28,21,248,19-05-22|14:00|17:00,FULL
F108,CS F407,ARTIFICIAL INTELLIGENCE,55,50,71,06-05-22|14:00|17:00,FULL
F201,CS F407,ARTIFICIAL INTELLIGENCE,28,21,71,06-05-22|14:00|17:00,FULL
F205,CS F415,DATA MINING,40,40,150,10-05-22|14:00|17:00,FULL
F207,CS F415,DATA MINING,55,55,150,10-05-22|14:00|17:00,FULL
F208,CS F415,DATA MINING,60,55,150,10-05-22|14:00|17:00,FULL
J214,CS F441,SEL TOPICS FROM COMP SC,28,28,37,23-05-22|9:00|12:00,FULL
J217,CS F441,SEL TOPICS FROM COMP SC,28,9,37,23-05-22|9:00|12:00,FULL
F205,CS F469,INFORMATION RETRIEVAL,40,40,171,11-05-22|9:00|12:00,FULL
F207,CS F469,INFORMATION RETRIEVAL,55,55,171,11-05-22|9:00|12:00,FULL
F208,CS F469,INFORMATION RETRIEVAL,60,50,171,11-05-22|9:00|12:00,FULL
G207,CS F469,INFORMATION RETRIEVAL,37,26,171,11-05-22|9:00|12:00,FULL
F208,CS G513,NETWORK SECURITY,60,55,55,07-05-22|9:00|12:00,FULL
F201,CS G516,ADVANCED DATABASE SYSTEMS,28,25,25,10-05-22|9:00|12:00,FULL
F109,CS G520,ADVANCED DATA MINING,36,31,31,12-05-22|9:00|12:00,FULL
G101,CS G523,SOFTWARE FOR EMBEDDE SYS,28,29,29,07-05-22|9:00|12:00,FULL
F108,CS G524,ADV COMPUTER ARCHITECTUR,28,53,53,14-05-22|9:00|12:00,FULL
F107,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,53,53,663,06-05-22|9:00|12:00,FULL
F108,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,54,54,663,06-05-22|9:00|12:00,FULL
F109,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,36,36,663,06-05-22|9:00|12:00,FULL
F201,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,28,28,663,06-05-22|9:00|12:00,FULL
F202,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,28,28,663,06-05-22|9:00|12:00,FULL
F203,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,28,28,663,06-05-22|9:00|12:00,FULL
F204,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,28,28,663,06-05-22|9:00|12:00,FULL
F205,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,40,40,663,06-05-22|9:00|12:00,FULL
F207,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,55,55,663,06-05-22|9:00|12:00,FULL
F208,CS/ECE/EEE/INSTR F241,MICROPROC & INTERFACING,60,60,663,06-05-22|9:00|12:00,FULL
